1	525.2877	1941.229	4.429892	4.79822
2	663.079	1847.689	4.542639	4.867548
3	728.7752	1893.15	4.615404	4.989836
5	810.9155	1336.642	4.839556	4.933221
6	714.8795	1448.528	4.671836	4.831577
7	543.7372	1288.546	4.424041	4.69879
11	411.3944	2275.093	4.39259	4.796765
12	440.3333	2197.091	4.476098	4.667141
14	441.1307	2233.011	4.403062	4.860253
21	599.2163	1978.542	4.40423	4.894037
22	592.5507	1959.899	4.087865	4.802181
24	569.8613	1991.994	4.516866	4.941955
33	620.1378	2059.224	4.347911	5.027536
39	766.087	1829.261	4.693657	5.013284
41	808.0645	1449.711	4.8443	4.95776
42	782.8331	1672.451	4.788051	5.007045
43	780.8631	1326.295	4.705	4.908504
44	718.2819	1273.59	4.702502	4.840136
47	777.8737	1478.317	4.718795	4.919554
53	740.2186	1167.617	4.744859	4.794929
54	557.1122	975.9273	4.660808	4.762645
61	539.7747	982.9505	4.592872	4.76811
62	628.9169	1342.568	4.514038	4.772455
63	620.0192	1332.923	4.057321	4.700364
64	528.9181	953.4962	4.608001	4.762555
72	452.4824	1282.609	4.364288	4.775122
73	445.9345	1819.35	4.312133	4.828277
74	467.2353	1204.176	4.356453	4.634414
82	416.0622	1873.91	4.364174	4.858582
94	553.9443	1486.107	4.564759	4.965292
